Time:512Hz,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Classification
0.109375,1145628032.0,1145628032.0,1145657472.0,1165800320.0,1145657472.0,1166050432.0,1145630208.0,1163184128.0,1145632256.0,1145657472.0,1162823296.0,1145628032.0,1145628032.0,1145630208.0,right
0.111328125,1163202944.0,1145630208.0,1145657472.0,1162790272.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165879040.0,1145657472.0,1166045440.0,1145632256.0,right
0.11328125,1145628032.0,1145628032.0,1145657472.0,1165887488.0,1145657472.0,1166041472.0,1145630208.0,1163108480.0,1145632256.0,1145657472.0,1162696192.0,1145628032.0,1145628032.0,1145630208.0,right
0.115234375,1163001856.0,1145630208.0,1145657472.0,1162680448.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165844352.0,1145657472.0,1166035712.0,1145630208.0,right
0.1171875,1145628032.0,1145628032.0,1145657472.0,1165813376.0,1145657472.0,1166033664.0,1145632256.0,1162803328.0,1145630208.0,1145657472.0,1162666240.0,1145628032.0,1145628032.0,1145630208.0,right
0.119140625,1162775552.0,1145630208.0,1145657472.0,1162629504.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165770368.0,1145657472.0,1166033408.0,1145630208.0,right
0.12109375,1145628032.0,1145628032.0,1145657472.0,1165754624.0,1145657472.0,1166029184.0,1145632256.0,1162733568.0,1145630208.0,1145657472.0,1162534528.0,1145628032.0,1145628032.0,1145630208.0,right
0.123046875,1162629504.0,1145632256.0,1145657472.0,1162517632.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165733632.0,1145657472.0,1166007168.0,1145632256.0,right
0.125,1145628032.0,1145628032.0,1145657472.0,1165732480.0,1145657472.0,1166000896.0,1145632256.0,1162373760.0,1145630208.0,1145657472.0,1162537088.0,1145628032.0,1145628032.0,1145630208.0,right
0.126953125,1162294016.0,1145632256.0,1145657472.0,1162531840.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165720960.0,1145657472.0,1165999232.0,1145632256.0,right
0.12890625,1145628032.0,1145628032.0,1145657472.0,1165702528.0,1145657472.0,1165991936.0,1145630208.0,1162240896.0,1145632256.0,1145657472.0,1162439936.0,1145628032.0,1145628032.0,1145630208.0,right
0.130859375,1162257792.0,1145630208.0,1145657472.0,1162398464.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165667968.0,1145657472.0,1165977728.0,1145632256.0,right
0.1328125,1145628032.0,1145628032.0,1145657472.0,1165660032.0,1145657472.0,1165972480.0,1145630208.0,1162238848.0,1145632256.0,1145657472.0,1162477824.0,1145628032.0,1145628032.0,1145630208.0,right
0.134765625,1162177408.0,1145630208.0,1145657472.0,1162580736.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165652736.0,1145657472.0,1165971456.0,1145630208.0,right
0.13671875,1145628032.0,1145628032.0,1145657472.0,1165644288.0,1145657472.0,1165974144.0,1145632256.0,1162143232.0,1145630208.0,1145657472.0,1162727168.0,1145628032.0,1145628032.0,1145630208.0,right
0.138671875,1162198400.0,1145630208.0,1145657472.0,1162735616.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165610752.0,1145657472.0,1165963520.0,1145630208.0,right
0.140625,1145628032.0,1145628032.0,1145657472.0,1165598080.0,1145657472.0,1165959424.0,1145632256.0,1162315008.0,1145630208.0,1145657472.0,1162684672.0,1145628032.0,1145628032.0,1145630208.0,right
0.142578125,1162333952.0,1145632256.0,1145657472.0,1162667392.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165598080.0,1145657472.0,1165964672.0,1145632256.0,right
0.14453125,1145628032.0,1145628032.0,1145657472.0,1165600768.0,1145657472.0,1165957760.0,1145632256.0,1162261888.0,1145630208.0,1145657472.0,1162651648.0,1145628032.0,1145628032.0,1145630208.0,right
0.146484375,1162218368.0,1145632256.0,1145657472.0,1162623232.0,1145628032.0,1145628032.0,1145630208.0,1145628032.0,1145628032.0,1145657472.0,1165596544.0,1145657472.0,1165932032.0,1145632256.0,right
0.1484375,1145628032.0,1145628032.0,1145657472.0,1165589632.0,1145657472.0,1165924736.0,1145630208.0,1162214656.0,1145632256.0,1145657472.0,1162542848.0,1145628032.0,1145628032.0,1145630208.0,right
